,id,name,localisation,places,id_regional
54,55,Akwakwak,"Aire de Détente, Bonaugure, Chemin Rocheux, Chenal 226, Chenal 230, Célestia, Entrée de Charbourg, Grand Marais, Lac Courage, Lac Savoir, Lac Vérité, Route 203, Route 204, Route 205, Route 208, Route 209, Route 210, Route 212, Route 214, Route 225, Source des Adieux, VestigionÉvolution de Psykokwak au niveau 33","['route-203', 'route-204', 'route-205', 'route-208', 'route-209', 'route-210', 'route-212', 'route-214', 'route-225', 'chenal-226', 'chenal-230', 'chemin-rocheux', 'entree-charbourg', 'grand-marais', 'lac-courage', 'lac-savoir', 'lac-verite', 'source-des-adieux']",44
55,56,Férosinge,"Chenal 226, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie), Route 225","['route-225', 'chenal-226']",-1
56,57,Colossinge,"Chenal 226, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie), Route 225Évolution de Férosinge au niveau 28","['route-225', 'chenal-226']",-1
57,58,Caninos,"Diamant : Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables / Lave)",[],-1
58,59,Arcanin,Évolution de Caninos en utilisant une Pierre Feu,[],-1
59,60,Ptitard,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 225, Route 227, Route 228","['route-225', 'route-227', 'route-228']",-1
60,61,Têtarte,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 225, Route 227, Route 228Évolution de Ptitard au niveau 25","['route-225', 'route-227', 'route-228']",-1
61,62,Tartard,Évolution de Têtarte en utilisant une Pierre Eau,[],-1
62,63,Abra,"Charbourg, Route 203, Route 215","['route-203', 'route-215']",20
63,64,Kadabra,"Grands Souterrains (Biome Cristaux), Route 215, Route VictoireÉvolution de Abra au niveau 16","['route-215', 'route-victoire']",21
64,65,Alakazam,Évolution de Kadabra par échange,[],22
65,66,Machoc,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Neige), Grands Souterrains (Biome Prairie), Mont Couronné, Route 207, Route 208, Route 210","['route-207', 'route-208', 'route-210', 'mont-couronne']",40
66,67,Machopeur,"Chenal 226, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Neige), Grands Souterrains (Biome Prairie), Mont Abrupt, Mont Couronné, Rive Lac Savoir, Route 210, Route 211, Route 216, Route 217, Route 225, Route VictoireÉvolution de Machoc au niveau 28","['route-210', 'route-211', 'route-216', 'route-217', 'route-225', 'chenal-226', 'mont-abrupt', 'mont-couronne', 'rive-lac-savoir', 'route-victoire']",41
67,68,Mackogneur,Évolution de Machopeur par échange,[],42
68,69,Chétiflor,"Chenal 230, Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 229","['route-229', 'chenal-230']",-1
69,70,Boustiflor,"Chenal 230, Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 224, Route 229Évolution de Chétiflor au niveau 21","['route-224', 'route-229', 'chenal-230']",-1
70,71,Empiflor,Évolution de Boustiflor en utilisant une Pierre Plante,[],-1
71,72,Tentacool,"Chenal 220, Forge Fuego, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Joliberges, Parc Éolien, Route 205, Route 213, Route 218, Route 219, Route 221, Route 222, Verchamps, Île de Fer","['route-205', 'route-213', 'route-218', 'route-219', 'chenal-220', 'route-221', 'route-222', 'forge-fuego', 'ile-de-fer', 'parc-eolien']",136
72,73,Tentacruel,"Chenal 220, Chenal 223, Chenal 226, Chenal 230, Forge Fuego, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Joliberges, Ligue Pokémon, Parc Éolien, Rivamar, Route 205, Route 213, Route 218, Route 219, Route 221, Route 222, Route 224, Verchamps, Île de FerÉvolution de Tentacool au niveau 30","['route-205', 'route-213', 'route-218', 'route-219', 'chenal-220', 'route-221', 'route-222', 'chenal-223', 'route-224', 'chenal-226', 'chenal-230', 'forge-fuego', 'ile-de-fer', 'parc-eolien']",137
73,74,Racaillou,"Chemin Rocheux, Entrée de Charbourg, Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables), Grotte des Égarés, Mine de Charbourg, Mont Abrupt, Mont Couronné, Rive Lac Courage, Route 206, Route 207, Route 210, Route 211, Route 214, Route 215, Tunnel du Ruinophile, Île de Fer","['route-206', 'route-207', 'route-210', 'route-211', 'route-214', 'route-215', 'chemin-rocheux', 'entree-charbourg', 'grotte-des-egares', 'grotte-ruinophile', 'ile-de-fer', 'mine-charbourg', 'mont-abrupt', 'mont-couronne', 'rive-lac-courage']",31
74,75,Gravalanch,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables), Mont Abrupt, Mont Couronné, Rive Lac Courage, Route 211, Route 214, Route 216, Route 227, Route Victoire, Temple de Frimapic, Île de FerÉvolution de Racaillou au niveau 25","['route-211', 'route-214', 'route-216', 'route-227', 'ile-de-fer', 'mont-abrupt', 'mont-couronne', 'rive-lac-courage', 'route-victoire', 'temple-frimapic']",32
75,76,Grolem,Évolution de Gravalanch par échange,[],33
76,77,Ponyta,"Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables / Lave), Route 206, Route 210, Route 211, Route 214, Route 215","['route-206', 'route-210', 'route-211', 'route-214', 'route-215']",90
77,78,Galopa,Évolution de Ponyta au niveau 40,[],91
78,79,Ramoloss,"Perle : Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 205",['route-205'],-1
79,80,Flagadoss,Évolution de Ramoloss au niveau 37,[],-1
80,81,Magnéti,"Forge Fuego, Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Neige / Glacier), Grands Souterrains (Biome Neige)",['forge-fuego'],-1
81,82,Magnéton,Évolution de Magnéti au niveau 30,[],-1
82,83,Canarticho,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie), Route 221",['route-221'],-1
83,84,Doduo,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie), Route 201",['route-201'],-1
84,85,Dodrio,Évolution de Doduo au niveau 31,[],-1
85,86,Otaria,"Diamant : Chenal 226, Chenal 230, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Neige / Glacier), Grands Souterrains (Biome Neige)","['chenal-226', 'chenal-230']",-1
86,87,Lamantine,"Diamant : Chenal 226, Chenal 230, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Neige / Glacier), Grands Souterrains (Biome Neige)Évolution de Otaria au niveau 34","['chenal-226', 'chenal-230']",-1
87,88,Tadmorv,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Marais), Route 212",['route-212'],-1
88,89,Grotadmorv,Évolution de Tadmorv au niveau 38,[],-1
89,90,Kokiyas,"Forge Fuego, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Prairie / Eaux), Parc Éolien, Route 205","['route-205', 'forge-fuego', 'parc-eolien']",-1
90,91,Crustabri,Évolution de Kokiyas en utilisant une Pierre Eau,[],-1
91,92,Fantominus,"Grands Souterrains (Biome Cristaux), Route 209, Tour Perdue, Vieux Château","['route-209', 'tour-perdue', 'vieux-chateau']",69
92,93,Spectrum,"Frimapic, Grotte du RetourÉvolution de Fantominus au niveau 25",['grotte-retour'],70
93,94,Ectoplasma,Évolution de Spectrum par échange,[],71
94,95,Onix,"Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables / Lave), Grands Souterrains (Biome Sables), Mine de Charbourg, Mont Abrupt, Route Victoire, Temple de Frimapic, Île de Fer","['ile-de-fer', 'mine-charbourg', 'mont-abrupt', 'route-victoire', 'temple-frimapic']",34
95,96,Soporifik,"Grands Souterrains (Biome Cristaux), Route 215",['route-215'],-1
96,97,Hypnomade,Évolution de Soporifik au niveau 26,[],-1
97,98,Krabby,"Chenal 226, Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Grotte)",['chenal-226'],-1
98,99,Krabboss,Évolution de Krabby au niveau 28,[],-1
99,100,Voltorbe,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Grotte), Route 218",['route-218'],-1
100,101,Électrode,Évolution de Voltorbe au niveau 30,[],-1
101,102,Noeunoeuf,Grand Marais,['grand-marais'],-1
102,103,Noadkoko,Évolution de Noeunoeuf en utilisant une Pierre Plante,[],-1
103,104,Osselait,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Sables), Route 203",['route-203'],-1
104,105,Ossatueur,Évolution de Osselait au niveau 28,[],-1
105,106,Kicklee,"Évolution de Debugant au niveau 20, si Attaque > Défense",[],-1
106,107,Tygnon,"Évolution de Debugant au niveau 20, si Attaque < Défense",[],-1
107,108,Excelangue,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Lac Courage",['lac-courage'],-1
108,109,Smogo,Reproduction,[],-1
109,110,Smogogo,"Grands Souterrains (Biome Marais), Mont Abrupt, Route 227Évolution de Smogo au niveau 35","['route-227', 'mont-abrupt']",-1
110,111,Rhinocorne,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie), Grands Souterrains (Biome Sables / Lave), Grands Souterrains (Biome Sables), Mont Abrupt, Route 227","['route-227', 'mont-abrupt']",-1
111,112,Rhinoféros,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Sables / Lave), Grands Souterrains (Biome Sables), Mont Abrupt, Route 227, Route 228Évolution de Rhinocorne au niveau 42","['route-227', 'route-228', 'mont-abrupt']",-1
112,113,Leveinard,"Jardin Trophée, Route 209, Route 210Évolution de Ptiravi par montée de niveau avec une Pierre Ovale tenue le jour","['route-209', 'route-210', 'manoir-pokemon']",97
113,114,Saquedeneu,Grands Souterrains (Biome Marais),[],-1
114,115,Kangourex,Grand Marais,['grand-marais'],-1
115,116,Hypotrempe,"Chenal 226, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Prairie / Eaux)",['chenal-226'],-1
116,117,Hypocéan,Chenal 226Évolution de Hypotrempe au niveau 32,['chenal-226'],-1
117,118,Poissirène,"Aire de Détente, Bonaugure, Lac Courage, Lac Savoir, Lac Vérité, Route 203, Route 204, Route 209, Route 212, Route 214, Source des Adieux","['route-203', 'route-204', 'route-209', 'route-212', 'route-214', 'lac-courage', 'lac-savoir', 'lac-verite', 'source-des-adieux']",78
118,119,Poissoroy,"Aire de Détente, Bonaugure, Lac Courage, Lac Savoir, Lac Vérité, Route 203, Route 204, Route 209, Route 212, Route 214, Source des AdieuxÉvolution de Poissirène au niveau 33","['route-203', 'route-204', 'route-209', 'route-212', 'route-214', 'lac-courage', 'lac-savoir', 'lac-verite', 'source-des-adieux']",79
119,120,Stari,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Neige / Glacier), Grands Souterrains (Biome Prairie / Eaux), Joliberges, Rivamar",[],-1
120,121,Staross,Évolution de Stari en utilisant une Pierre Eau,[],-1
121,122,M. Mime,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Neige / Glacier), Grands Souterrains (Biome Neige), Route 218DE, Route 222DEÉvolution de Mime Jr. par montée de niveau en ayant appris Copie","['route-218', 'route-222']",95
122,123,Insécateur,"Diamant : Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Grands Souterrains (Biome Sables), Route 229",['route-229'],-1
123,124,Lippoutou,Évolution de Lippouti au niveau 30,[],-1
124,125,Élektek,Évolution de Élekid au niveau 30,[],-1
125,126,Magmar,Évolution de Magby au niveau 30,[],-1
126,127,Scarabrute,"Perle : Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Grands Souterrains (Biome Sables), Route 229",['route-229'],-1
127,128,Tauros,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Neige / Glacier), Grands Souterrains (Biome Neige), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Grands Souterrains (Biome Sables), Route 209, Route 210","['route-209', 'route-210']",-1
128,129,Magicarpe,"Aire de Détente, Bonaugure, Chemin Rocheux, Chenal 220, Chenal 223, Chenal 226, Chenal 230, Célestia, Entrée de Charbourg, Forge Fuego, Grand Marais, Joliberges, Lac Courage, Lac Savoir, Lac Vérité, Ligue Pokémon, Mont Couronné, Parc Éolien, Rivamar, Route 203, Route 204, Route 205, Route 208, Route 209, Route 210, Route 212, Route 213, Route 214, Route 218, Route 219, Route 221, Route 222, Route 224, Route 225, Route 227, Route 228, Route 229, Route Victoire, Source des Adieux, Verchamps, Vestigion, Île de Fer","['route-203', 'route-204', 'route-205', 'route-208', 'route-209', 'route-210', 'route-212', 'route-213', 'route-214', 'route-218', 'route-219', 'chenal-220', 'route-221', 'route-222', 'chenal-223', 'route-224', 'route-225', 'chenal-226', 'route-227', 'route-228', 'route-229', 'chenal-230', 'chemin-rocheux', 'entree-charbourg', 'forge-fuego', 'grand-marais', 'ile-de-fer', 'lac-courage', 'lac-savoir', 'lac-verite', 'mont-couronne', 'parc-eolien', 'route-victoire', 'source-des-adieux']",23
129,130,Léviator,"Aire de Détente, Bonaugure, Chemin Rocheux, Chenal 220, Chenal 223, Chenal 226, Chenal 230, Célestia, Entrée de Charbourg, Forge Fuego, Grand Marais, Joliberges, Lac Courage, Lac Savoir, Lac Vérité, Ligue Pokémon, Mont Couronné, Parc Éolien, Rivamar, Route 203, Route 204, Route 205, Route 208, Route 209, Route 210, Route 212, Route 213, Route 214, Route 218, Route 219, Route 221, Route 222, Route 224, Route 225, Route 227, Route 228, Route 229, Route Victoire, Source des Adieux, Verchamps, Vestigion, Île de FerÉvolution de Magicarpe au niveau 20","['route-203', 'route-204', 'route-205', 'route-208', 'route-209', 'route-210', 'route-212', 'route-213', 'route-214', 'route-218', 'route-219', 'chenal-220', 'route-221', 'route-222', 'chenal-223', 'route-224', 'route-225', 'chenal-226', 'route-227', 'route-228', 'route-229', 'chenal-230', 'chemin-rocheux', 'entree-charbourg', 'forge-fuego', 'grand-marais', 'ile-de-fer', 'lac-courage', 'lac-savoir', 'lac-verite', 'mont-couronne', 'parc-eolien', 'route-victoire', 'source-des-adieux']",24
130,131,Lokhlass,Route Victoire,['route-victoire'],-1
131,132,Métamorph,"Grands Souterrains (Biome Cristaux), Route 218",['route-218'],-1
132,133,Évoli,"Jardin Trophée, Unionpolis",['manoir-pokemon'],-1
133,134,Aquali,Évolution de Évoli en utilisant une Pierre Eau,[],-1
134,135,Voltali,Évolution de Évoli en utilisant une Pierre Foudre,[],-1
135,136,Pyroli,Évolution de Évoli en utilisant une Pierre Feu,[],-1
136,137,Porygon,Jardin Trophée,['manoir-pokemon'],-1
137,138,Amonita,Charbourg,[],-1
138,139,Amonistar,Évolution de Amonita au niveau 40,[],-1
139,140,Kabuto,Charbourg,[],-1
140,141,Kabutops,Évolution de Kabuto au niveau 40,[],-1
141,142,Ptéra,Charbourg,[],-1
142,143,Ronflex,Évolution de Goinfrex par montée de niveau avec beaucoup d'amitié,[],113
143,144,Artikodin,Perle : Parc Rosa Rugosa,[],-1
144,145,Électhor,Perle : Parc Rosa Rugosa,[],-1
145,146,Sulfura,Perle : Parc Rosa Rugosa,[],-1
146,147,Minidraco,"Grands Souterrains (Biome Eaux), Mont Couronné",['mont-couronne'],-1
147,148,Draco,Mont CouronnéÉvolution de Minidraco au niveau 30,['mont-couronne'],-1
148,149,Dracolosse,Évolution de Draco au niveau 55,[],-1
149,150,Mewtwo,Parc Rosa Rugosa,[],-1
150,151,Mew,Floraville,[],-1
151,152,Germignon,"Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie)",[],-1
152,153,Macronium,Évolution de Germignon au niveau 16,[],-1
153,154,Méganium,Évolution de Macronium au niveau 32,[],-1
154,155,Héricendre,"Grands Souterrains (Biome Lave), Grands Souterrains (Biome Sables / Lave)",[],-1
155,156,Feurisson,Évolution de Héricendre au niveau 14,[],-1
156,157,Typhlosion,Évolution de Feurisson au niveau 36,[],-1
157,158,Kaiminus,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Prairie / Eaux)",[],-1
158,159,Crocrodil,Évolution de Kaiminus au niveau 18,[],-1
159,160,Aligatueur,Évolution de Crocrodil au niveau 30,[],-1
160,161,Fouinette,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Lave), Grands Souterrains (Biome Neige), Grands Souterrains (Biome Sables), Route 202",['route-202'],-1
161,162,Fouinar,"Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Lave), Grands Souterrains (Biome Neige), Grands Souterrains (Biome Sables)Évolution de Fouinette au niveau 15",[],-1
162,163,Hoothoot,"Grand Marais, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Grotte), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 210, Route 211","['route-210', 'route-211', 'grand-marais']",106
163,164,Noarfang,"Grand Marais, Lac Courage, Lac Savoir, Mont Couronné, Rive Lac Savoir, Route 210, Route 211, Route 216, Route 217, Source des AdieuxÉvolution de Hoothoot au niveau 20","['route-210', 'route-211', 'route-216', 'route-217', 'grand-marais', 'lac-courage', 'lac-savoir', 'mont-couronne', 'rive-lac-savoir', 'source-des-adieux']",107
164,165,Coxy,Reproduction,[],-1
165,166,Coxyclaque,"Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie / Eaux), Grands Souterrains (Biome Prairie), Route 229Évolution de Coxy au niveau 18",['route-229'],-1
166,167,Mimigal,Reproduction,[],-1
167,168,Migalos,"Grands Souterrains (Biome Marais), Grands Souterrains (Biome Prairie), Route 229Évolution de Mimigal au niveau 22",['route-229'],-1
168,169,Nostenfer,Évolution de Nosferalto par montée de niveau avec beaucoup d'amitié,[],30
169,170,Loupio,"Chenal 220, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Neige / Glacier)",['chenal-220'],-1
170,171,Lanturn,"Chenal 220, Grands Souterrains (Biome Eaux), Grands Souterrains (Biome Glacier), Grands Souterrains (Biome Neige / Glacier)Évolution de Loupio au niveau 27",['chenal-220'],-1
171,172,Pichu,Jardin TrophéeReproduction de Pikachu ou Raichu,['manoir-pokemon'],103
172,173,Mélo,"Jardin Trophée, Mont CouronnéReproduction de Mélofée ou Mélodelfe","['manoir-pokemon', 'mont-couronne']",99
173,174,Toudoudou,Jardin TrophéeReproduction de Rondoudou ou Grodoudou,['manoir-pokemon'],-1
174,175,Togepi,"Chenal 230, Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Eaux)Reproduction de Togetic ou Togekiss",['chenal-230'],-1
175,176,Togetic,Évolution de Togepi par montée de niveau avec beaucoup d'amitié,[],-1
176,177,Natu,"Grands Souterrains (Biome Cristaux), Grands Souterrains (Biome Grotte), Route 224",['route-224'],-1
177,178,Xatu,Évolution de Natu au niveau 25,[],-1
178,179,Wattouat,"Grands Souterrains (Biome Neige), Grands Souterrains (Biome Prairie), Parc Éolien",['parc-eolien'],-1
179,180,Lainergie,"Grands Souterrains (Biome Neige), Grands Souterrains (Biome Prairie), Route 222Évolution de Wattouat au niveau 15",['route-222'],-1
180,181,Pharamp,Évolution de Lainergie au niveau 30,[],-1
